Coefficient,MAE,ExpVar
1.4871939076787866,5.693461970506528,0.9177433494111247
0.4525951475972831,5.693461970506528,0.9177433494111247
0.15015325060909912,5.693461970506528,0.9177433494111247
0.0423220929637995,5.693461970506528,0.9177433494111247
0.3759586284707122,5.693461970506528,0.9177433494111247
1.727450180543162,5.693461970506528,0.9177433494111247
1.5999053297103873,5.693461970506528,0.9177433494111247
0.3954526962111577,5.693461970506528,0.9177433494111247
1.2762859590919637,5.693461970506528,0.9177433494111247
0.6007495612854419,5.693461970506528,0.9177433494111247
1.2654241600167644,5.693461970506528,0.9177433494111247
0.41092923066693227,5.693461970506528,0.9177433494111247
0.09673804174379111,5.693461970506528,0.9177433494111247
0.29146422388481785,5.693461970506528,0.9177433494111247
0.3234050133646805,5.693461970506528,0.9177433494111247
0.7089357202672244,5.693461970506528,0.9177433494111247
0.348629142515753,5.693461970506528,0.9177433494111247
1.4943967497371797,5.693461970506528,0.9177433494111247
19.840895535950168,5.693461970506528,0.9177433494111247
0.15425266711761595,5.693461970506528,0.9177433494111247
0.5144408595069123,5.693461970506528,0.9177433494111247
1.1960130558887427,5.693461970506528,0.9177433494111247
